a,b,sim,mode,p1_final_edges,p2_final_edges,edge_jaccard,gap,ab_after_sim_ratio,sim_after_ab_ratio
2,2,0.1,sim_left,1158,1158,1.0,0.0,1.0,1.0
2,2,0.1,both,1158,1158,1.0,0.0,1.0,1.0
2,2,0.11,sim_left,1158,1158,1.0,0.0,1.0,1.0
2,2,0.11,both,1158,1158,1.0,0.0,1.0,1.0
2,2,0.12,sim_left,1153,1153,1.0,0.0,1.0,0.9956822107081175
2,2,0.12,both,1153,1153,1.0,0.0,1.0,0.9956822107081175
2,2,0.13,sim_left,1125,1125,1.0,0.0,1.0,0.9715025906735751
2,2,0.13,both,1125,1125,1.0,0.0,1.0,0.9715025906735751
2,2,0.14,sim_left,1007,1007,1.0,0.0,1.0,0.8696027633851469
2,2,0.14,both,989,989,1.0,0.0,1.0,0.8540587219343696
2,2,0.15,sim_left,915,912,0.9967213114754099,0.003278688524590164,0.9967213114754099,0.7901554404145078
2,2,0.15,both,871,868,0.9965556831228473,0.003444316877152698,0.9965556831228473,0.7521588946459413
2,2,0.16,sim_left,648,626,0.9660493827160493,0.033950617283950615,0.9660493827160493,0.5595854922279793
2,2,0.16,both,578,555,0.9602076124567474,0.039792387543252594,0.9602076124567474,0.4991364421416235
2,2,0.17,sim_left,523,493,0.9426386233269598,0.05736137667304015,0.9426386233269598,0.45164075993091535
2,2,0.17,both,424,401,0.9457547169811321,0.054245283018867926,0.9457547169811321,0.36614853195164077
2,2,0.18,sim_left,494,458,0.9271255060728745,0.0728744939271255,0.9271255060728745,0.4265975820379965
2,2,0.18,both,400,372,0.93,0.07,0.93,0.3454231433506045
2,2,0.19,sim_left,351,309,0.8803418803418803,0.11965811965811966,0.8803418803418803,0.30310880829015546
2,2,0.19,both,223,190,0.852017937219731,0.14798206278026907,0.852017937219731,0.192573402417962
2,2,0.2,sim_left,326,284,0.8711656441717791,0.12883435582822086,0.8711656441717791,0.2815198618307427
2,2,0.2,both,210,177,0.8428571428571429,0.15714285714285714,0.8428571428571429,0.18134715025906736
2,2,0.21,sim_left,205,162,0.7902439024390244,0.2097560975609756,0.7902439024390244,0.1770293609671848
2,2,0.21,both,89,68,0.7640449438202247,0.23595505617977527,0.7640449438202247,0.0768566493955095
2,2,0.22,sim_left,154,107,0.6948051948051948,0.3051948051948052,0.6948051948051948,0.13298791018998274
2,2,0.22,both,67,42,0.6268656716417911,0.373134328358209,0.6268656716417911,0.05785837651122625
2,2,0.23,sim_left,112,75,0.6696428571428571,0.33035714285714285,0.6696428571428571,0.09671848013816926
2,2,0.23,both,33,14,0.42424242424242425,0.5757575757575758,0.42424242424242425,0.02849740932642487
2,2,0.24,sim_left,39,19,0.48717948717948717,0.5128205128205128,0.48717948717948717,0.03367875647668394
2,2,0.24,both,14,8,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.012089810017271158
2,2,0.25,sim_left,39,19,0.48717948717948717,0.5128205128205128,0.48717948717948717,0.03367875647668394
2,2,0.25,both,14,8,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.012089810017271158
2,2,0.26,sim_left,19,8,0.42105263157894735,0.5789473684210527,0.42105263157894735,0.016407599309153715
2,2,0.26,both,4,4,1.0,0.0,1.0,0.0034542314335060447
2,2,0.27,sim_left,0,0,1.0,0.0,0.0,0.0
