a,b,sim,mode,p1_final_edges,p2_final_edges,edge_jaccard,gap,ab_after_sim_ratio,sim_after_ab_ratio
2,2,0.15,both,871,868,0.9965556831228473,0.003444316877152698,0.9965556831228473,0.7521588946459413
2,2,0.16,both,578,555,0.9602076124567474,0.039792387543252594,0.9602076124567474,0.4991364421416235
2,2,0.17,both,424,401,0.9457547169811321,0.054245283018867926,0.9457547169811321,0.36614853195164077
2,2,0.18,both,400,372,0.93,0.07,0.93,0.3454231433506045
2,2,0.2,both,210,177,0.8428571428571429,0.15714285714285714,0.8428571428571429,0.18134715025906736
2,2,0.15,sim_left,915,912,0.9967213114754099,0.003278688524590164,0.9967213114754099,0.7901554404145078
2,2,0.16,sim_left,648,626,0.9660493827160493,0.033950617283950615,0.9660493827160493,0.5595854922279793
2,2,0.17,sim_left,523,493,0.9426386233269598,0.05736137667304015,0.9426386233269598,0.45164075993091535
2,2,0.18,sim_left,494,458,0.9271255060728745,0.0728744939271255,0.9271255060728745,0.4265975820379965
2,2,0.2,sim_left,326,284,0.8711656441717791,0.12883435582822086,0.8711656441717791,0.2815198618307427
2,3,0.15,both,867,824,0.9325714285714286,0.049596309111880045,0.9460390355912744,0.756544502617801
2,3,0.16,both,610,490,0.7915309446254072,0.19672131147540983,0.8477508650519031,0.5322862129144852
2,3,0.17,both,443,334,0.738255033557047,0.24604966139954854,0.7877358490566038,0.3865619546247818
2,3,0.18,both,402,310,0.7536945812807881,0.22885572139303484,0.775,0.3507853403141361
2,3,0.2,both,203,109,0.5145631067961165,0.4630541871921182,0.5190476190476191,0.17713787085514834
2,3,0.15,sim_left,919,868,0.9445048966267682,0.055495103373231776,0.9486338797814208,0.8019197207678883
2,3,0.16,sim_left,695,552,0.7942446043165468,0.20575539568345325,0.8518518518518519,0.606457242582897
2,3,0.17,sim_left,554,418,0.7545126353790613,0.24548736462093862,0.7992351816443595,0.48342059336823734
2,3,0.18,sim_left,503,389,0.7733598409542743,0.22664015904572565,0.7874493927125507,0.4389179755671902
2,3,0.2,sim_left,322,214,0.6645962732919255,0.33540372670807456,0.656441717791411,0.28097731239092494
2,4,0.15,both,855,755,0.8463302752293578,0.11695906432748537,0.8668197474167624,0.776566757493188
2,4,0.16,both,686,401,0.5353107344632768,0.41545189504373176,0.6937716262975778,0.623069936421435
2,4,0.17,both,475,220,0.4154786150712831,0.5368421052631579,0.5188679245283019,0.43142597638510444
2,4,0.18,both,413,183,0.38927738927738925,0.5569007263922519,0.4575,0.3751135331516803
2,4,0.2,both,217,16,0.035555555555555556,0.9262672811059908,0.0761904761904762,0.19709355131698456
2,4,0.15,sim_left,918,796,0.8489751887810141,0.1328976034858388,0.8699453551912568,0.8337874659400545
2,4,0.16,sim_left,807,462,0.558968058968059,0.4275092936802974,0.7129629629629629,0.7329700272479565
2,4,0.17,sim_left,625,303,0.4848,0.5152,0.5793499043977055,0.5676657584014533
2,4,0.18,sim_left,543,274,0.5046040515653776,0.4953959484346225,0.5546558704453441,0.49318801089918257
2,4,0.2,sim_left,394,57,0.1388888888888889,0.8553299492385786,0.17484662576687116,0.3578564940962761
3,3,0.15,both,863,820,0.9322617680826636,0.04982618771726535,0.9414466130884042,0.7556917688266199
3,3,0.16,both,615,478,0.7657512116316639,0.22276422764227644,0.8269896193771626,0.5385288966725044
3,3,0.17,both,440,316,0.7027027027027027,0.2818181818181818,0.7452830188679245,0.38528896672504376
3,3,0.18,both,390,294,0.71,0.24615384615384617,0.735,0.3415061295971979
3,3,0.2,both,202,0,0.0,1.0,0.0,0.17688266199649738
3,3,0.15,sim_left,915,864,0.9442622950819672,0.05573770491803279,0.9442622950819672,0.8012259194395797
3,3,0.16,sim_left,691,546,0.7901591895803184,0.2098408104196816,0.8425925925925926,0.6050788091068301
3,3,0.17,sim_left,550,408,0.7418181818181818,0.2581818181818182,0.780114722753346,0.4816112084063047
3,3,0.18,sim_left,489,377,0.7459677419354839,0.22903885480572597,0.7631578947368421,0.42819614711033277
3,3,0.2,sim_left,308,192,0.5923566878980892,0.37662337662337664,0.588957055214724,0.26970227670753066
4,2,0.15,both,859,855,0.9837962962962963,0.004656577415599534,0.981630309988519,0.7463075586446568
4,2,0.16,both,569,534,0.9083044982698962,0.061511423550087874,0.9238754325259516,0.4943527367506516
4,2,0.17,both,410,365,0.8585131894484412,0.10975609756097561,0.8608490566037735,0.35621198957428324
4,2,0.18,both,386,330,0.821882951653944,0.14507772020725387,0.825,0.3353605560382276
4,2,0.2,both,210,102,0.45794392523364486,0.5142857142857142,0.4857142857142857,0.18245004344048654
4,2,0.15,sim_left,908,905,0.9966960352422908,0.003303964757709251,0.9890710382513661,0.788879235447437
4,2,0.16,sim_left,631,615,0.9438377535101404,0.025356576862123614,0.9490740740740741,0.5482189400521286
4,2,0.17,sim_left,506,473,0.9009708737864077,0.06521739130434782,0.904397705544933,0.43961772371850566
4,2,0.18,sim_left,477,435,0.8765432098765432,0.0880503144654088,0.8805668016194332,0.4144222415291051
4,2,0.2,sim_left,312,269,0.8099688473520249,0.13782051282051283,0.8251533742331288,0.2710686359687228
